Build iteration,Sample build nr.,Maschine,Projekt Name,Laser P [W],Scan [mm/s],Layer thickness [Mikrom.],Hatch distance [mm],Building temperature (deg.C),sample type,support type,tensile direction,Pattern,Kontur Laser P [W],Kontur Scan [mm/s],Stripe Overlap,Contour offset,Spotsize,Streifenbreite,Streifenversch.,Drehwinkel,Abstand zur OK,Kontur Spotsize,Kontur Abstand zur OK,Heat treatment,Yield [Mpa]P pO2,UTS [Mpa]R m,Elongation (%)A,Surface roughness [Ra],OF-optisch,Porositaet Flaeche Bionic polished,Porositaet Flaeche repolished IAPT,Porositaet Kontur,Aufbaurate,VED,Relative density (Archimedis),Relative density,Pulver,Powderbatch,Powder state,Spalte1,Si,Spalte2,Fe,Spalte3,Cu,Spalte4,Mn,Spalte5,Mg,Spalte6,Be,Spalte7,Zn,Spalte8,Ti,D10,D50,D90,Carney Funnel (s/50g),Schuttdichte,Klopfdichte,Bulid finish status,trial category,Date
1,1,Aconity,Alaf parameter development,300,160,30,0.11,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.9008,568.1818182,,99.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,2,Aconity,Alaf parameter development,300,160,30,0.11,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.9008,568.1818182,,99.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,3,Aconity,Alaf parameter development,300,160,30,0.11,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.9008,568.1818182,,99.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,4,Aconity,Alaf parameter development,300,160,30,0.11,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.9008,568.1818182,,99.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,5,Aconity,Alaf parameter development,300,160,30,0.11,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.9008,568.1818182,,99.94,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,6,Aconity,Alaf parameter development,260,200,30,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.944,481.4814815,,99.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,7,Aconity,Alaf parameter development,260,200,30,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.944,481.4814815,,99.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,8,Aconity,Alaf parameter development,260,200,30,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.944,481.4814815,,99.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,9,Aconity,Alaf parameter development,260,200,30,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.944,481.4814815,,99.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
1,10,Aconity,Alaf parameter development,260,200,30,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,,,1.944,481.4814815,,99.92,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
