,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
480,370.0,1175.0,50.0,0.1,0.06297872340425532,99.471
481,370.0,1500.0,50.0,0.1,0.04933333333333333,99.18
482,370.0,1850.0,50.0,0.1,0.04,99.077
483,370.0,2175.0,50.0,0.1,0.03402298850574713,99.457
484,370.0,2500.0,50.0,0.1,0.0296,98.467
485,370.0,725.0,50.0,0.16,0.06379310344827586,99.482
486,370.0,925.0,50.0,0.16,0.05,99.66
487,370.0,1150.0,50.0,0.16,0.04021739130434782,99.426
488,370.0,1350.0,50.0,0.16,0.03425925925925926,98.936
489,370.0,1550.0,50.0,0.16,0.029838709677419355,98.268
490,370.0,825.0,50.0,0.14,0.06406926406926405,99.52
491,370.0,1050.0,50.0,0.14,0.050340136054421766,99.727
492,370.0,1300.0,50.0,0.14,0.040659340659340654,99.838
493,370.0,1525.0,50.0,0.14,0.03466042154566744,99.005
494,370.0,1775.0,50.0,0.14,0.029778672032193153,98.358
495,370.0,975.0,50.0,0.12,0.06324786324786325,99.742
496,370.0,1250.0,50.0,0.12,0.04933333333333333,99.792
497,370.0,1525.0,50.0,0.12,0.040437158469945354,99.456
498,370.0,1800.0,50.0,0.12,0.03425925925925926,99.047
499,370.0,2075.0,50.0,0.12,0.02971887550200803,98.587
500,370.0,1175.0,50.0,0.1,0.06297872340425532,99.855
501,370.0,1500.0,50.0,0.1,0.04933333333333333,99.843
502,370.0,1850.0,50.0,0.1,0.04,99.622
503,370.0,2175.0,50.0,0.1,0.03402298850574713,99.554
504,370.0,2500.0,50.0,0.1,0.0296,98.977
505,370.0,1450.0,50.0,0.08,0.06379310344827586,99.832
506,370.0,1700.0,50.0,0.08,0.054411764705882354,99.718
507,370.0,1975.0,50.0,0.08,0.04683544303797468,99.525
508,370.0,2225.0,50.0,0.08,0.04157303370786517,99.495
509,370.0,2500.0,50.0,0.08,0.037,98.989
510,370.0,625.0,60.0,0.16,0.06166666666666667,95.463
511,370.0,775.0,60.0,0.16,0.04973118279569892,98.721
512,370.0,975.0,60.0,0.16,0.03952991452991453,99.442
513,370.0,1125.0,60.0,0.16,0.03425925925925926,99.243
514,370.0,1300.0,60.0,0.16,0.029647435897435896,98.777
515,370.0,700.0,60.0,0.14,0.0629251700680272,97.04
516,370.0,875.0,60.0,0.14,0.05034013605442176,99.162
517,370.0,1075.0,60.0,0.14,0.04097452934662236,99.585
518,370.0,1275.0,60.0,0.14,0.03454715219421101,99.688
519,370.0,1475.0,60.0,0.14,0.029862792574656977,99.251
520,370.0,825.0,60.0,0.12,0.06228956228956229,98.284
521,370.0,1050.0,60.0,0.12,0.04894179894179894,99.499
522,370.0,1275.0,60.0,0.12,0.04030501089324619,99.534
523,370.0,1500.0,60.0,0.12,0.03425925925925926,99.382
524,370.0,1725.0,60.0,0.12,0.029790660225442835,99.042
525,370.0,975.0,60.0,0.1,0.06324786324786325,99.377
526,370.0,1250.0,60.0,0.1,0.04933333333333333,99.79
527,370.0,1525.0,60.0,0.1,0.040437158469945354,99.701
528,370.0,1800.0,60.0,0.1,0.03425925925925926,99.527
529,370.0,2075.0,60.0,0.1,0.02971887550200803,99.227
530,370.0,1225.0,60.0,0.08,0.06292517006802721,99.751
531,370.0,1525.0,60.0,0.08,0.050546448087431695,99.764
532,370.0,1850.0,60.0,0.08,0.041666666666666664,99.661
533,370.0,2175.0,60.0,0.08,0.035440613026819924,99.273
534,370.0,2500.0,60.0,0.08,0.030833333333333334,98.319
535,370.0,725.0,50.0,0.16,0.06379310344827586,99.071
537,370.0,925.0,50.0,0.16,0.05,99.668
539,370.0,1150.0,50.0,0.16,0.04021739130434782,99.366
541,370.0,1350.0,50.0,0.16,0.03425925925925926,98.814
543,370.0,1550.0,50.0,0.16,0.029838709677419355,98.074
545,370.0,825.0,50.0,0.14,0.06406926406926405,99.387
547,370.0,1050.0,50.0,0.14,0.050340136054421766,99.761
549,370.0,1300.0,50.0,0.14,0.040659340659340654,99.509
551,370.0,1525.0,50.0,0.14,0.03466042154566744,98.953
553,370.0,1775.0,50.0,0.14,0.029778672032193153,98.384
555,370.0,975.0,50.0,0.12,0.06324786324786325,99.637
557,370.0,1250.0,50.0,0.12,0.04933333333333333,99.761
559,370.0,1525.0,50.0,0.12,0.040437158469945354,99.621
