Duration [s],Average Interlayertemperature [°C],Average Lack of fusion volume below 580 °C [%],Average Hot spot volume above 880 °C [%],Relative Density [%],Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Layer Thickness [Microm.],Laser Energy Density E [J/mm^3]
2810.97,86.03195394,4.686549584,8.278094428,97.6,300,1000,0.1,50,60
2740.65,84.46589153,48.67951478,0.328710772,97.8,300,1500,0.1,50,40
2705.49,83.64693908,74.85658574,0.001080609,95.4,300,2000,0.1,50,30
2810.97,88.28930906,0,50.56525884,99.7,400,1000,0.1,50,80
2740.65,86.01297177,1.375648462,19.42510617,99.8,400,1500,0.1,50,53.33333333
2705.49,84.82390788,10.04483779,4.143682667,99.5,400,2000,0.1,50,40
2810.97,90.54723626,0,97.32822972,99.9,500,1000,0.1,50,100
2740.65,87.56008172,0,60.83381924,100,500,1500,0.1,50,66.66666667
2705.49,86.00066122,0.342054037,25.24451516,100,500,2000,0.1,50,50
2740.65,84.46589153,28.73659339,2.942621685,99.3,300,1000,0.15,50,40
2693.76,83.36832838,67.69925966,0.108622818,96.9,300,1500,0.15,50,26.66666667
2670.32,82.8020208,78.21668581,0.001065042,87,300,2000,0.15,50,20
2740.65,86.01297177,0.582583368,29.87822682,100,400,1000,0.15,50,53.33333333
2693.76,84.41930163,12.69728434,8.253190617,99.9,400,1500,0.15,50,35.55555556
2670.32,83.59791233,42.24162117,1.07543551,98,400,2000,0.15,50,26.66666667
2740.65,87.56008172,0,79.46135594,99.7,500,1000,0.15,50,66.66666667
2693.76,85.47059435,0.512530464,35.5216162,99.9,500,1500,0.15,50,44.44444444
2670.32,84.3935364,5.849354963,13.92653093,99.9,500,2000,0.15,50,33.33333333
2705.49,83.64693908,47.66354264,1.493843145,99.4,300,1000,0.2,50,30
2670.32,82.8020208,75.53775624,0.052187033,87.3,300,1500,0.2,50,20
2652.74,82.36945765,84.84210906,0,65.5,300,2000,0.2,50,15
2705.49,84.82390788,11.36046095,18.39993444,99.9,400,1000,0.2,50,40
2670.32,83.59791233,35.15088938,4.76008263,97.4,400,1500,0.2,50,26.66666667
2652.74,82.97073551,56.98130899,0.461441327,92.5,400,2000,0.2,50,20
2705.49,86.00066122,0.462336762,56.79292021,99.8,500,1000,0.2,50,50
2670.32,84.3935364,11.33123027,21.76414502,99.9,500,1500,0.2,50,33.33333333
2652.74,83.57213224,27.73454562,8.199306605,96.8,500,2000,0.2,50,25
2810.97,92.80488856,0,99.99273128,99.4,600,1000,0.1,50,120
2740.65,89.1072214,0,96.79072147,100,600,1500,0.1,50,80
2705.49,87.17750371,0,72.93915067,100,600,2000,0.1,50,60
2810.97,95.06233284,0,100,97.9,700,1000,0.1,50,140
2740.65,90.65424963,0,99.89347117,99.7,700,1500,0.1,50,93.33333333
2705.49,88.3543685,0,96.82327392,99.9,700,2000,0.1,50,70
2810.97,97.32005201,0,100,97.8,800,1000,0.1,50,160
2740.65,92.20177563,0,100,99.7,800,1500,0.1,50,106.6666667
2705.49,89.53080238,0,99.76359955,99.9,800,2000,0.1,50,80
2740.65,89.1072214,0,98.47494762,99.8,600,1000,0.15,50,80
2693.76,86.52144874,0,76.17880386,99.9,600,1500,0.15,50,53.33333333
2670.32,85.1898737,0.388699174,41.63118135,99.9,600,2000,0.15,50,40
2740.65,90.65424963,0,99.98164279,99.3,700,1000,0.15,50,93.33333333
2693.76,87.5722734,0,96.4864584,99.8,700,1500,0.15,50,62.22222222
2670.32,85.98543834,0,75.84852318,99.9,700,2000,0.15,50,46.66666667
2740.65,92.20177563,0,100,98.9,800,1000,0.15,50,106.6666667
2693.76,88.62332838,0,99.64007675,99.8,800,1500,0.15,50,71.11111111
2670.32,86.78153046,0,94.62102155,99.9,800,2000,0.15,50,53.33333333
2705.49,87.17750371,0,82.94203544,99.8,600,1000,0.2,50,60
2670.32,85.1898737,1.151002476,53.3500318,99.9,600,1500,0.2,50,40
2652.74,84.1728529,10.83518563,26.18798083,99.5,600,2000,0.2,50,30
2705.49,88.3543685,0,96.50746025,99.6,700,1000,0.2,50,70
2670.32,85.98543834,0.018795568,76.17692615,99.8,700,1500,0.2,50,46.66666667
2652.74,84.77439079,1.90205789,52.48302823,99.9,700,2000,0.2,50,35
2705.49,89.53080238,0,99.63432244,99.4,800,1000,0.2,50,80
2670.32,86.78153046,0,89.7822393,99.8,800,1500,0.2,50,53.33333333
2652.74,85.37569837,0.222450623,72.42281649,99.9,800,2000,0.2,50,40
