,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,0.6884586334228515,0.22986727100726015,0.000999116897583008,2.8474805120150788e-06,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-4.468816031371326,-0.09924211903889116,-0.8920557302593757,-0.3797854796286829,-1.9070862682553245,-1.54939712571072,1.5845495843060824,1
41,2.5211735725402833,0.6620749293444074,0.0009994983673095703,9.464947338714222e-07,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-6.3727001512939125,-0.12010847293398119,-0.5685494762633351,-0.2116719199712759,-0.7975936624477885,-1.6141247365820586,2.391775453356021,2
37,0.5207280158996582,0.25369229359779744,0.00039682388305664065,0.00048601646004627156,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-5.929577712975607,-0.10968964440567786,-0.6230946836601827,-0.27133552034999375,-2.2020624057709894,-1.82715199343249,2.1813046749642453,3
40,0.8145843505859375,0.12887971264948653,0.00039944648742675783,0.0004892201821111938,logistic,1e-05,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-6.771316551884494,-0.12882625312049645,-0.4068999967791435,-0.34786952558298007,-1.5107765019759893,-1.8331377658686208,2.5153282155289394,4
36,0.23525795936584473,0.15026701308097482,0.000797271728515625,0.00039868023730362163,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-5.69137005924571,-0.18499979823335716,-1.1139878721450713,-0.44805969604722945,-1.7849468736660832,-1.8446728598674902,2.0019785258231386,5
47,6.867162704467773,1.6385602113353492,0.0007981300354003906,0.0003990872521985957,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-6.723395673960767,-0.12764159417957371,-0.940703149420742,-0.6304825951709198,-1.1717355318692444,-1.9187917089202493,2.427629647573207,6
43,0.7809775829315185,0.2856402415737359,0.0007998466491699219,0.00039992390734128744,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-6.13281708124708,-0.15766216944634903,-0.8794412470615178,-0.4046547909622913,-2.186354016128637,-1.9521858609691747,2.2044709489396483,7
62,2.2037015914916993,0.24825852812476448,0.0,0.0,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-7.327221555384945,-0.15652792485777337,-0.5540890609008607,-0.27737450855803847,-1.9144789361755137,-2.045938397175426,2.7141310944846353,8
39,0.3828884601593018,0.14041993844078324,0.0010013580322265625,0.0006333196687244004,logistic,1e-05,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-8.16420219162855,-0.1356481720364032,-0.821558811150755,-0.2981151188762194,-0.8653599697683387,-2.0569768526920535,3.0669042492837693,9
11,3.2431435108184816,1.955726528679259,0.0009985923767089843,1.564142176328347e-06,relu,0.0001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-6.623732049785146,-0.16103405097497203,-0.3510541517013729,-0.35208893510078654,-3.0514970015650342,-2.1078812378254623,2.499711233532741,10
42,0.6165395259857178,0.2128924440953983,0.0003997802734375,0.0004896296754587848,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-6.59503947115507,-0.13916818480667414,-0.9092402082542924,-0.4231783794697159,-2.6514284318883425,-2.143610935114819,2.390583386147381,11
5,3.2139366626739503,0.5976070231364955,0.0008013725280761718,0.0004006886615520287,relu,1e-05,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-6.820324322781788,-0.1600796174686132,-0.42182772545070213,-0.3244730017046268,-3.0091136328938295,-2.147163660059912,2.5623768907368016,12
10,0.335477876663208,0.19612061443571152,0.0005988121032714844,0.0004889295230819422,relu,0.0001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-6.5341287282394935,-0.1568173832075736,-0.5874715958851022,-0.5435454674308237,-3.030694243968368,-2.1705314837462724,2.40786492439967,13
