,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58,2.8022367477416994,1.0639363959582742,0.0006003856658935546,0.000490213492796682,tanh,1e-05,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.3967411320242347,-0.22783018450250958,-0.30311974206195597,-1.1621458750987967,-0.7752814053834621,-0.5730236678141918,0.34958700490847294,1
36,0.18324170112609864,0.06804590590676828,0.0006008148193359375,0.0004905634079817712,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.7978544676870784,-0.6900605888496484,-0.39630449999051615,-1.0328534984306912,-0.6816996758406019,-0.7197545461597071,0.2054655145168438,2
54,0.0680150032043457,0.04266105015188015,0.00039992332458496096,0.0004898041858020194,tanh,1e-05,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.7358518870594555,-0.7064088073424841,-0.35594807714577975,-1.016726036798528,-0.6482440194325289,-0.8926357655557553,0.4709253238912127,3
57,1.1126526832580566,1.094070063323134,0.0004004001617431641,0.0004903890240816026,tanh,1e-05,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.9099338257359895,-0.6645202834361194,-0.21488955337941948,-1.1787352090681538,-0.6741642721498124,-0.9284486287538989,0.5778307405642926,4
43,0.7087602615356445,0.23311810461437985,0.0006001949310302735,0.0004900572096040241,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.0999748406217997,-0.4960279400811649,-0.3679792780472799,-1.037685328377765,-0.7037201741323851,-0.9410775122520789,0.6221294562286036,5
62,3.7566545009613037,2.2109503251387452,0.0007997512817382813,0.0003998887471371805,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.096016773503365,-0.5932073085933025,-0.3221557207162365,-1.0665943019724222,-1.0273876538272924,-1.0210723517225238,0.604842226227985,6
44,1.1190552234649658,0.20971531342545977,0.0006000041961669922,0.0004899034477835058,logistic,0.0001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-2.372818706879077,-0.8597556889245149,-0.34924137249065385,-1.0369090515012194,-0.6930073651099422,-1.0623464369810816,0.6933913505319066,7
61,0.40529298782348633,0.1496645319237135,0.0007999897003173828,0.00039999631034014747,tanh,0.0001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.47375760632896,-2.067354951177629,-0.39076008538079815,-1.0274220073780942,-0.6946140960477974,-1.1307817492626557,0.5904844319782706,8
60,0.08561978340148926,0.041461328714199955,0.00020041465759277344,0.0004008293151855469,tanh,0.0001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.87557512442436,-0.7210364091157774,-0.4197101945224425,-1.032501364007649,-0.6493193595742786,-1.1396284903289016,0.8898192697861478,9
42,0.2832640171051025,0.08907988092277139,0.0004002571105957031,0.0004902128434401034,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.2621348724598747,-1.6014087665068388,-0.3606367647148159,-1.0405718283133578,-0.7038076636801899,-1.1937119791350155,0.6730849287259628,10
37,0.9118059158325196,0.6271176143462918,0.0008012294769287109,0.000400616480166252,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-2.6252404887256495,-1.5439499053303847,-0.3137921250760544,-1.0304266732331289,-0.6878944895082343,-1.2402607363746905,0.8022317518294297,11
68,1.9632450580596923,0.5369801368418491,0.0006004810333251953,0.0004902909502275095,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-3.4318426799399493,-0.7594654049810932,-0.32361458258769976,-1.0435330845795219,-0.6534991576645397,-1.2423909819505607,1.1186960236636083,12
41,2.8296414852142333,0.9010341564424061,0.0006001472473144531,0.0004900182296200158,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-3.7881635034864307,-0.2137398439334033,-0.43490826187598886,-1.0733923535368664,-0.7111383051139997,-1.2442684535893378,1.303984781883828,13
