,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41,3.6654354095458985,1.1177281235155898,0.0003979206085205078,0.0004873529099151886,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.6033836613496298,-1.8083588794223715,-0.748266135843123,-4.450702156731211,-0.8645252427181755,-1.695047215212902,1.4411359522156622,1
59,5.407026290893555,1.3124916596669873,0.0009994029998779297,1.9913304345913984e-06,tanh,1e-05,"(100, 100)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.3746748592241127,-2.1580115161958235,-0.31590657586643234,-5.449920327431938,-0.8760248784080811,-1.8349076314252777,1.925191575011494,2
46,1.5031460285186768,0.6576763484964177,0.0007996082305908204,0.00039980725386627036,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.5663954314214809,-3.3810563492534875,-0.7382202422099706,-6.152658426898162,-0.9706071529854313,-2.3617875205537064,2.154270059665794,3
40,0.5937349319458007,0.1876877826954572,0.0007999420166015625,0.0003999739075147692,logistic,1e-05,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.394010843120175,-0.9325668343372039,-1.839226681560095,-6.908936788644431,-0.8604172101575989,-2.387031671563901,2.2882231638185533,4
38,0.9650203227996826,0.636810252674298,0.0004000663757324219,0.0004899796131324178,logistic,1e-05,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-0.6204882876365342,-3.0736281573615627,-0.8858855746255953,-6.786555240022757,-0.9211090401597133,-2.4575332599612323,2.337751667171496,5
47,10.100691604614259,2.792174066483601,0.0006022930145263671,0.0004917748414550824,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.5415754795889626,-2.9755105622049762,-0.507111596664824,-7.614163500825272,-0.7743852755941854,-2.4825492829756444,2.7263174040342317,6
39,0.8575963973999023,0.35499663447314145,0.0005990028381347656,0.0004890846138655597,logistic,1e-05,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-0.8537398233389956,-1.3146720306022255,-0.6571834884335463,-8.993676640272966,-0.9182661350714141,-2.54750762354383,3.2301573062627567,7
37,0.5747313022613525,0.20329368339753826,0.0006002902984619141,0.0004901396693586727,logistic,1e-05,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.6668287415005606,-3.0412116039140753,-0.6768106119609961,-7.968773593554543,-0.7652955314905849,-2.623784016484152,2.8219680439295893,8
43,0.9874234676361084,0.30141101649082447,0.0006003379821777344,0.0004901755874851462,logistic,0.0001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.20824217905050568,-3.1202552570734574,-0.6763934374050637,-7.954617501459208,-1.1808428219083642,-2.62807023937932,2.8415991696793603,9
62,2.248310995101929,0.3991397266603188,0.0006008148193359375,0.0004905643813202569,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-0.46462592999177715,-3.0914776362820837,-0.3799984275564975,-8.129950994540444,-1.1772680741451853,-2.648664212503198,2.909380098043332,10
