,Randomstate,RMSE,MAPE,MSE,Training RMSE,Feat Corr Num,Feat Permu Num,Feat Corr Name,Feat Permu Name
0,1,7.585140099341846,0.04130473573302911,57.53435032664363,0.9708022551005419,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Duration [s]']"
1,2,0.5233622639113568,0.0035347845850263833,0.27390805928642065,1.378893775595739,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]' 'Duration [s]'
 'Hatch Distance [mm]' 'Scan Speed [mm/s]']"
2,3,0.839319882131804,0.005836507749466009,0.7044578645417453,1.94940266211835,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Duration [s]' 'Scan Speed [mm/s]']
3,4,3.3783092071485528,0.026391151497807776,11.412973099104683,3.956752147531769,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]']
4,5,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
5,6,0.8097688965554148,0.004344549017408076,0.6557256658285741,0.8795084646117578,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
6,7,0.8503592271017097,0.004741691118362074,0.7231108151170171,1.719919641507881,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
7,8,1.988990113321383,0.01980605920864331,3.956081670890208,4.535027209438047,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]']
8,9,0.21548817646584723,0.0015267906137391664,0.04643515419657611,1.6833139624522062,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]']
9,10,0.8719777206362902,0.005521134599801131,0.7603451452860601,1.598259629281485,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]']
10,11,0.7196389732752209,0.004325495278253293,0.517880251856614,0.9803504462151535,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]'
 'Duration [s]' 'Average Interlayertemperature [°C]']"
11,12,5.847031785866805,0.029047220909169315,34.187780704936756,0.5695817919293847,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Duration [s]' 'Scan Speed [mm/s]'
 'Hatch Distance [mm]']"
12,13,0.7278521608855141,0.0039285912949066325,0.5297687681057123,1.695047215212902,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]' 'Duration [s]'
 'Average Interlayertemperature [°C]' 'Hatch Distance [mm]']"
13,14,5.988719811340201,0.028421320490694825,35.86476497873861,0.8092642113024902,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]'
 'Scan Speed [mm/s]' 'Duration [s]']"
14,15,0.941046308332398,0.005078174900850046,0.8855681544260346,1.688401751779668,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Hatch Distance [mm]' 'Scan Speed [mm/s]' 'Laser Power [W]'
 'Average Interlayertemperature [°C]' 'Duration [s]']"
15,16,2.0142367875705607,0.010720118970269577,4.057149836402572,0.7147974469265916,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]']
16,17,0.426720316258414,0.0023944585860385865,0.18209022830768085,1.2306653266678036,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Duration [s]'
 'Hatch Distance [mm]']"
17,18,4.9213898316914175,0.03451481453475735,24.220077875475678,3.7247301746550163,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
18,19,2.1550988932386472,0.009921067573125523,4.644451239638442,0.9174371888486934,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Average Interlayertemperature [°C]' 'Laser Power [W]'
 'Hatch Distance [mm]' 'Scan Speed [mm/s]']"
19,20,7.788081573066373,0.04079838254371881,60.654214588736,2.251655715446456,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]']
20,21,1.9750295404032354,0.01637034034293534,3.9007416854654156,4.297009378472309,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Duration [s]']
21,22,0.656452253039487,0.0032232663147087714,0.43092956052061865,1.1093350095076475,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Duration [s]']"
22,23,0.39059230005913576,0.0035773012631467485,0.15256234486548595,4.345649796435551,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]' 'Laser Power [W]']
23,24,3.773936923920532,0.020456518909535683,14.242599905730769,4.128904267554629,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
24,25,0.6972881778179558,0.003964448914888481,0.48621080292468516,1.290029534600287,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]' 'Scan Speed [mm/s]' 'Duration [s]']"
25,26,1.2091653061500627,0.007653700838310664,1.4620807375969749,4.113292408305594,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Hatch Distance [mm]' 'Laser Power [W]']
26,27,3.104485004089222,0.015600284972906987,9.637827140614856,2.020361707647758,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Duration [s]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Laser Power [W]' 'Average Interlayertemperature [°C]']"
27,28,3.4101294639267534,0.029554342756663795,11.628982960741366,4.293896185870921,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
28,29,2.463922469318334,0.022562342430640876,6.070913934811757,4.576937426231565,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
29,30,0.5837050313899068,0.003342653413081093,0.3407115636698921,1.601425518860013,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]']
30,31,1.8940990465234844,0.011860453250770935,3.5876111980411722,4.769497362019395,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Duration [s]']
31,32,8.450885605527336,0.0472362694647045,71.41746751770914,0.7379289458165206,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]' 'Hatch Distance [mm]' 'Duration [s]']"
32,33,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
33,34,1.251851785671091,0.008134357093754475,1.5671328932878987,1.7913183952003648,5,5,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]'
 'Duration [s]' 'Average Interlayertemperature [°C]']"
34,35,0.67454222646016,0.0038090321484402934,0.4550072152778299,0.8292993478642569,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Hatch Distance [mm]' 'Scan Speed [mm/s]' 'Laser Power [W]']
35,36,4.679738348539776,0.021886823451893377,21.899951010793792,1.484594257418064,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]']"
36,37,3.7720203642998316,0.02014686038597011,14.228137628692632,1.137008209536031,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Average Interlayertemperature [°C]'
 'Scan Speed [mm/s]']"
37,38,5.811935356558231,0.03129746161096594,33.77859258881165,1.1360673416239258,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Scan Speed [mm/s]' 'Hatch Distance [mm]']
38,39,1.0847530422510614,0.005039550255599832,1.1766891626729332,2.042346165886343,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Scan Speed [mm/s]'
 'Average Interlayertemperature [°C]']"
39,40,3.679075722462431,0.025515438038464747,13.535598171612458,4.071951815526407,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Hatch Distance [mm]']
40,41,0.389207720226347,0.002930204031971899,0.1514826494837904,1.9358952518052912,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Laser Power [W]' 'Hatch Distance [mm]'
 'Average Interlayertemperature [°C]']"
