,Randomstate,RMSE,MAPE,MSE,Training RMSE,Feat Corr Num,Feat Permu Num,Feat Corr Name,Feat Permu Name
0,1,10.048223733389682,0.06344105958807209,100.96680019625568,1.828108215910121,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
1,2,0.5927157365518686,0.004715098290279177,0.3513119443562241,1.9191991799242019,5,2,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Average Interlayertemperature [°C]']
2,3,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
3,4,2.620320097761821,0.01706347420174078,6.8660774147345185,3.8560457271475337,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
4,5,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
5,6,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
6,7,3.2588034531564043,0.020605737946500495,10.619799946304104,4.100988664754491,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
7,8,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
8,9,1.8455863834943749,0.015095035020378855,3.406189098939846,4.295184858028437,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
9,10,1.8247898551055635,0.01709646758280695,3.3298580152961836,4.833971518918591,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Scan Speed [mm/s]']
10,11,0.7862754892745756,0.004753289631589417,0.6182291450339732,1.0900026922092783,5,4,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']","['Scan Speed [mm/s]' 'Laser Power [W]' 'Hatch Distance [mm]'
 'Duration [s]']"
11,12,5.351229690432049,0.025882077584722437,28.635659199761484,0.5998582253513757,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]' 'Duration [s]' 'Scan Speed [mm/s]']
12,13,2.9125949419192088,0.02063479164340718,8.483209295693358,4.32538043314885,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
13,14,8.956930352970168,0.04643339034279969,80.22660134795832,2.3888783392104305,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Laser Power [W]']
14,15,0.46695189435383466,0.0036095883596093366,0.21804407164063475,2.354442289821555,5,3,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Hatch Distance [mm]' 'Scan Speed [mm/s]' 'Laser Power [W]']
15,16,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
16,17,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
17,18,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
18,19,0.42912025649068286,0.003210844509685508,0.18414419453062944,1.4439707705734652,5,1,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",['Average Interlayertemperature [°C]']
19,20,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
20,21,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
21,22,X,X,X,X,5,0,"['Duration [s]', 'Average Interlayertemperature [°C]', 'Laser Power [W]', 'Scan Speed [mm/s]', 'Hatch Distance [mm]']",X
