,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.11762828826904297,0.03068403919934108,0.0006000041961669922,0.0004899018465690916,relu,0.0001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.1848190561660965,-4.161515232521698,-1.9767906797140349,-1.09021658964038,-9.101617325793823,-3.502991776767206,3.0100817209767836,1
66,0.531720781326294,0.2773696842827571,0.0012009143829345703,0.0014695494522085205,tanh,0.001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.1263393896548373,-3.7169817651665804,-6.762212430422869,-1.1776732519645616,-9.083038461874164,-4.373249059816603,3.13286054939503,2
4,0.1858440399169922,0.10606132673350546,0.001000690460205078,0.0006324863296512009,relu,1e-05,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.1847072718474803,-3.8262107349551577,-6.783157513700197,-1.0923355223107603,-9.100578952433246,-4.397397999049368,3.14270056214326,3
60,0.11562891006469726,0.11691879839495888,0.0008000850677490235,0.0007472986162406395,tanh,0.0001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.11228281683753,-3.898745450865189,-6.760711378522874,-1.1795116376825698,-9.085927137988374,-4.407435684379307,3.129296425700974,4
54,0.05441517829895019,0.025182787741286634,0.000598907470703125,0.0004890075140187788,tanh,1e-05,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.1549774529980652,-3.9228314791971584,-6.783705421057433,-1.180084596472554,-9.086837162952225,-4.425687222535487,3.1231686247485944,5
67,1.0194333076477051,0.580593449479324,0.000598287582397461,0.0004885038226207388,tanh,0.001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.1015919257667564,-3.6540250011339634,-6.790499568424416,-1.854769808134709,-9.091087562856732,-4.498394773263316,3.019488509820218,6
57,0.06301417350769042,0.10711868240746074,0.0006005287170410157,0.0008007645726784232,tanh,1e-05,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.157509550777734,-5.278125595221931,-2.2069537816296756,-2.2478482595731544,-11.66556636651391,-4.511200710743281,3.8328236155576287,7
48,0.588132905960083,0.05233313310413325,0.0008002758026123047,0.0004001380824320652,logistic,0.001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.2132629803270503,-3.660127385044443,-6.748179497438191,-1.8489418811316212,-9.096110481044017,-4.513324444997065,2.9904444585362406,8
5,1.1124546527862549,0.3933876374203186,0.0009988307952880859,1.628243549248111e-06,relu,1e-05,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.0542715044369462,-4.03540777860406,-6.777523310109046,-1.611916891106622,-9.09570169812209,-4.514964236475753,3.057331572647556,9
61,0.5887350082397461,0.15530149588330433,0.0010014057159423828,2.699083652131063e-06,tanh,0.0001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.181028755923155,-3.6565712869535787,-6.792709922443889,-1.8740408736926275,-9.091697627949516,-4.519209693392552,2.9986985270088695,10
50,1.3601078510284423,0.31206247238907664,0.0010012149810791015,6.503191803448608e-07,logistic,0.001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.220277507481672,-3.651130793349678,-6.7844227785305575,-1.8524816335153316,-9.09288552228149,-4.520239647031746,2.99324735677143,11
46,0.9540173053741455,0.4253076648798304,0.0056003093719482425,0.00920231346191791,logistic,0.0001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.1917903890392203,-3.6537230770459512,-6.792195213219449,-1.8790976540913273,-9.092168321219688,-4.521794930923127,2.9956421100664716,12
63,0.11462750434875488,0.2033655424042852,0.00040135383605957033,0.0004915567519472872,tanh,0.0001,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.1233172261475681,-5.278115563204262,-2.2982821731703433,-2.2478800771149077,-11.665557937846739,-4.522630595496763,3.8280469109545563,13
49,0.9910253047943115,0.22801090272791438,0.000599813461303711,0.0004897461278310195,logistic,0.001,"(30,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.2204175992887343,-3.6539809380519723,-6.78421641349319,-1.8646343717665501,-9.094736677568537,-4.523597200033796,2.9914219559041433,14
52,2.322531318664551,0.5379734991822943,0.0007984161376953125,0.00039921396376900036,logistic,0.001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.2115013565473198,-3.6568515324545143,-6.790764159614972,-1.8702033681621046,-9.09176318710372,-4.5242167207765265,2.9923205157446593,15
51,1.4687339305877685,0.6348175136631629,0.0006011009216308593,0.0004907977043612213,logistic,0.001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.2116903598776685,-3.670130062678959,-6.789640645628292,-1.8638828231518973,-9.092473527006717,-4.525563483668707,2.992683681786251,16
64,0.8521951675415039,0.30911271465662893,0.0015995025634765625,0.0017429093178746148,tanh,0.0001,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.2002737435870656,-3.6721907028186864,-6.792721180801335,-1.8808718753527114,-9.091932295154633,-4.527597959542886,2.9923869439764528,17
70,3.0106852054595947,0.7880572650778987,0.0008008956909179687,0.0004004572708027254,tanh,0.001,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.2194292315105817,-3.65519128220325,-6.792131514289616,-1.8799947905483783,-9.09245200037016,-4.527839763784398,2.989343761649099,18
68,1.683381700515747,0.3612150728751887,0.002400493621826172,0.003322586696370313,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.2309985286067349,-3.6570607685301986,-6.79121085146085,-1.8694043184896976,-9.092377824275367,-4.52821045827257,2.988395987966496,19
53,7.9498011589050295,1.9594821524258352,0.0008006572723388671,0.00040033211140580764,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.2198186087059115,-3.6734674232506004,-6.790822735062732,-1.8707785208403103,-9.092031555664954,-4.529383768704902,2.9895102351081246,20
45,0.8649977684020996,0.07438129486003599,0.0005997180938720703,0.0007996439947105463,logistic,0.0001,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.2162701234856204,-3.6997476675490883,-6.792021613566386,-1.8754343186163178,-9.091749737941091,-4.5350446922317005,2.9880769332155,21
44,1.6619767665863037,0.28887343798021436,0.0007997512817382813,0.00039987669279804877,logistic,0.0001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.2551160517224944,-3.676995239223233,-6.791680657113346,-1.8831892811100515,-9.091932197554872,-4.539782685344799,2.979397094830091,22
42,0.45690579414367677,0.2727654999181981,0.00039973258972167967,0.000489570909429976,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-1.2228188953412804,-3.743450252811845,-6.790611884629896,-1.8518011425499827,-9.091639363528582,-4.540064307772317,2.988219195716027,23
47,3.9883047580718993,1.9519593667531128,0.0007988929748535157,0.0003994532184186269,logistic,0.0001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.2895832116754615,-3.662077053153701,-6.792649309366744,-1.882672484071969,-9.091415573849458,-4.543679526423467,2.972779590471715,24
17,0.7337678909301758,0.1748532872399656,0.0017989635467529296,0.0016003387858373758,relu,0.001,"(100, 100)",lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.1374097442087914,-4.03802721524829,-6.789657887073704,-1.6820306758218966,-9.093236785622361,-4.548072461595009,3.0262249022508647,25
55,0.317874813079834,0.0658429991274253,0.0005987167358398437,0.00048885133830642,tanh,1e-05,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.1849845140221347,-3.8262022347042275,-6.792533368212061,-1.8703437151285593,-9.09243173683918,-4.553299113781232,2.989660776797215,26
58,0.8161870002746582,0.4114317098465545,0.0005998611450195312,0.0004897859047364484,tanh,1e-05,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-1.2141848394190473,-3.792098387069307,-6.792426943871295,-1.87820683112337,-9.091548697072298,-4.553693139711063,2.9831068149757867,27
69,1.269288969039917,0.7042383040933484,0.0008012771606445313,0.0004006387222042799,tanh,0.001,"(10, 10)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.2057222098063494,-3.8186640479991683,-6.77994027879297,-1.8770328269066894,-9.092129653634302,-4.554697803427896,2.982189290160101,28
