,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,0.25725841522216797,0.09586025690175269,0.0005994796752929688,0.000489474645892535,logistic,1e-05,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.5977223452482164,-0.6283588735287836,-0.7488567226235456,-1.2558743512803272,-0.48518539215139334,-0.7431995369664532,0.2697371903149432,1
66,0.6729507923126221,0.1139295687726466,0.0006016731262207031,0.0004912641429620793,tanh,0.001,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.6807086585013864,-2.233537200129851,-0.49068991460948974,-0.9663490765915536,-0.5814045847920305,-0.9905378869248622,0.6416953477002627,2
55,0.493911600112915,0.15890323285405256,0.00040063858032226565,0.0004906808806232339,tanh,1e-05,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-1.036099716881533,-0.9281089637217339,-1.2156341189285849,-0.8620211488555616,-0.9627900943866338,-1.0009308085548094,0.12115113892841707,3
54,0.04201011657714844,0.014257450261150901,0.0008020401000976562,0.000401020588687349,tanh,1e-05,"(10,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.3287071311416256,-1.5445825026987852,-0.8903826032154837,-1.4882128051685792,-0.9956434428776468,-1.0495056970204242,0.4439227059380352,4
56,0.6801528930664062,0.07077604012925809,0.0008009433746337891,0.00040047218056214794,tanh,1e-05,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.4916973514920984,-1.5571641523590471,-0.742338223804768,-0.8584364068515672,-0.8161887405642781,-1.0931649750143515,0.3546874782688892,5
58,1.0900549411773681,0.8508294758976629,0.0007962703704833985,0.00039815164319347034,tanh,1e-05,"(30, 30)",lbfgs,"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.661000363427385,-2.1673501930113606,-0.8920825881243336,-1.1394811088425167,-0.7277447425762319,-1.1175317991963656,0.5502331651787475,6
42,0.41109366416931153,0.20660445453081677,0.0003993511199951172,0.0004891063100992355,logistic,0.0001,"(10,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-0.5912628233557604,-2.700106926334273,-0.724678601725653,-1.0141366332018413,-0.6993621535331614,-1.1459094276301376,0.7896032759124477,7
53,9.759416866302491,4.687012422166137,0.0010001182556152344,0.0006321116641312347,logistic,0.001,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.4842813818513101,-3.0887529977109067,-0.7283609697295715,-0.8040156145687463,-0.7112029033745676,-1.1633227734470206,0.9686159757135708,8
52,3.0156861782073974,0.4719653142169524,0.00039987564086914064,0.0004897460117638935,logistic,0.001,"(30, 30)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.5604684804484759,-3.820313968709682,-0.6688589561255436,-0.7260176349006117,-0.43709217124322153,-1.2425502422855068,1.292655537226668,9
41,2.7558252811431885,1.2762627573744194,0.000601816177368164,0.0004913858716970233,logistic,1e-05,"(100, 100)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.368283769833773,-2.66857578896095,-0.8248667430631075,-1.1189604621114617,-0.27797065747741,-1.2517314842893403,0.7961261229744644,10
62,1.7253898143768311,0.19990613078297284,0.0004000663757324219,0.000489979265096882,tanh,0.0001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-0.7165047928750763,-3.7336503147625706,-0.6336407822249535,-0.6579088092855623,-0.5277448486516555,-1.2538899095599636,1.2413849952509244,11
10,0.6903584957122803,0.5700357547351851,0.0009992122650146484,1.1182822608526778e-06,relu,0.0001,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.5589268001772147,-3.759008602909715,-0.48108896655207944,-0.5728002452982015,-0.9070172127437669,-1.2557683655361953,1.2601587871584794,12
4,0.5815333366394043,0.3206011842007662,0.0006008625030517578,0.0004906023261112238,relu,1e-05,"(30, 30)",lbfgs,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-0.5523729309010356,-4.043042396020249,-0.6716189064985161,-0.5849760235955469,-0.473687317923955,-1.2651395149878604,1.3904003946921675,13
67,1.6097617149353027,0.17657250744036743,0.0005999565124511719,0.0004898626035770523,tanh,0.001,"(30,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.9091357840205486,-3.414978372601218,-0.7574290028355097,-0.7522963627801967,-0.6039152686654343,-1.2875509581805815,1.0680852000732906,14
50,1.5567532062530518,0.40912764917087335,0.00019989013671875,0.0003997802734375,logistic,0.001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-0.6879752763846998,-3.6103857402137036,-0.9148013192022563,-0.6962807874857815,-0.5734016913315982,-1.2965689629236077,1.16217018411496,15
39,0.4809093952178955,0.19278769965065015,0.0005997180938720703,0.0004896683613341558,logistic,1e-05,"(10, 10)",lbfgs,"{'activation': 'logistic', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.3613258859193202,-1.5786669127474604,-1.6912364623880471,-0.6619869047921151,-1.198133801298458,-1.2982699934290802,0.3610829681740402,16
68,1.817610740661621,0.35888650584531984,0.00040001869201660155,0.0004899209865402341,tanh,0.001,"(100,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.025154404100894,-3.6962055843152153,-0.6538163853171941,-0.7419516535962394,-0.4891061276258838,-1.3212468309910854,1.2001336807052068,17
