,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
7,5.493252897262574,2.9805227565857466,0.001101541519165039,0.0002978781499621485,relu,"(100, 100)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.7109255242454204,-0.29794627064095053,-1.7545678516122263,-0.8095039799168768,-2.5864051017900755,-0.3865114755164504,-0.3424512255886138,-2.846309991559171,-0.15259242378570298,-6.719180626496528,-1.7606394471152018,1.896829965027069,1
23,1.2585856437683105,0.19380667193583953,0.0006000041961669922,0.0004899015332873983,logistic,"(10, 10)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.722282538644717,-0.18212622903138467,-0.43532417285057823,-0.699646220595747,-1.8945740093827212,-0.23450844657318787,-0.024004736961210346,-4.958443431140235,-0.18842803391705323,-8.134312461704603,-1.8473650280801437,2.529516758796308,2
18,0.04860856533050537,0.009753224590492925,0.0008032560348510742,0.0006031328893508529,logistic,"(1,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-1.5838520960805311,-0.30443577426241686,-1.300526073593456,-2.162870923635796,-2.989136558446511,-0.7431037788679629,-0.3077031919715467,-3.9062734450372005,-0.22384673433107855,-5.2592661589046426,-1.878101473513114,1.620147456833037,3
25,10.649456095695495,2.7367981853162373,0.0014997005462646484,0.0004998389053162346,logistic,"(100, 100)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.4102206024011208,-0.12160332654294938,-1.9699028657813642,-0.8795200797872547,-2.990911559358663,-1.1175494723071004,-0.020384739867199245,-3.4650318159096094,-0.059616521937886524,-7.326328052689456,-1.9361069036582603,2.122556233202094,4
20,1.233077096939087,0.1814819577832345,0.0005000591278076172,0.00050006016678137,logistic,"(30,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.0084077569070264,-0.16664273806985994,-1.0574299030215761,-0.795548021872266,-1.0527777890160388,-0.697387569204434,-0.14856754268942432,-5.004870787128951,-0.2896404524852792,-7.961564879068093,-2.0182837439462946,2.4541913189225992,5
19,0.879798436164856,0.21908999702564796,0.0008995532989501953,0.00029987617478487627,logistic,"(10,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.167204538175032,-0.1406029517210531,-0.4373280277447345,-3.488858532560012,-1.4933487896481519,-0.5507328057267973,-0.019676797225071423,-4.85572256925404,-0.10286690112527873,-7.231182707081119,-2.048752462026129,2.3134061225193756,6
30,4.1384399890899655,0.6921702065767941,0.0009026527404785156,0.0003009330034425747,tanh,"(100,)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.0551813684007052,-0.6654518884894761,-0.34843942275122425,-2.4677595682560107,-3.3905968149760835,-0.6419797033913374,-0.3108275716868455,-3.8279197166677306,-0.1586702770256853,-7.8914028882625065,-2.0758229219907607,2.315909256838312,7
29,2.1037790298461916,0.5785946100953734,0.0013016462326049805,0.0006404271443852819,tanh,"(30,)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.4011663386555743,-0.21265872772591374,-0.6728751916914434,-1.316182083641106,-1.9133825914099558,-0.4480735723105303,-0.059833802850799,-6.6920370548425225,-0.10758748611629546,-9.58845281317491,-2.141224966241905,3.1167540201045214,8
21,2.838145446777344,0.33229792708988687,0.000800180435180664,0.00040009378014277495,logistic,"(100,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.3505486811530263,-0.4066519557478114,-1.8782134634277217,-1.228460442029053,-2.5498051400175314,-0.6844807939061806,-0.2026939747478161,-3.782774801849349,-0.10837940529862848,-9.364019363637142,-2.155602802181426,2.6377454201200097,9
8,8.664564609527588,1.7995784043986895,0.0011998414993286133,0.0007487753052777524,relu,"(100, 100, 100, 100, 100)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (100, 100, 100, 100, 100), 'solver': 'lbfgs'}",-1.14923740209005,-0.44173957389403484,-4.932258779417024,-1.266854713222139,-1.9270340876766328,-0.31964807457046956,-0.17091017245298049,-4.068330359148806,-0.438047031941346,-7.245338337531042,-2.195939853194453,2.2871254861273633,10
24,2.021662473678589,0.36604210532883613,0.0007005214691162109,0.00045860163910680995,logistic,"(30, 30)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-3.4239642409326763,-0.20312384555860763,-1.1580144148512472,-1.7622007992744917,-0.8151882460951103,-1.4119015697788926,-0.05493350100207346,-4.391189511486823,-0.30026612007431275,-8.474375516161823,-2.1995157765216056,2.4835700919551296,11
34,7.2946590185165405,5.633547149989112,0.0013013601303100586,0.0004583274336359527,tanh,"(100, 100)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-0.37027231151333284,-0.2191651969275261,-0.31256790003626533,-1.1369110843577968,-4.672119047367411,-1.1278895167485377,-0.0710891843676183,-2.990075553961971,-0.35132587499740536,-10.934379920610015,-2.218579559088788,3.226220368139818,12
22,0.21834919452667237,0.0708748457288266,0.0008011817932128906,0.0004005938622830661,logistic,"(1, 1)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (1, 1), 'solver': 'lbfgs'}",-1.5745387363867624,-0.2960113733264455,-1.306147926955647,-1.9802897415232994,-3.4494267138839936,-0.7553721537159316,-0.2893735124568531,-3.9985931460980537,-0.21506054451576267,-10.2459946571895,-2.411080850605225,2.8918770656306423,13
