,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
7,3.2498383045196535,1.5831462427867329,0.00039970874786376953,0.0004895421722754761,relu,"(100, 100)",lbfgs,"{'activation': 'relu', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.7109255242454204,-0.29794627064095053,-1.7545678516122263,-0.8095039799168768,-2.5864051017900755,-0.3865114755164504,-0.3424512255886138,-2.846309991559171,-0.15259242378570298,-6.719180626496528,-1.7606394471152018,1.896829965027069,1
21,1.1755663871765136,0.16871207681717293,0.0009004116058349609,0.0005389651207510135,logistic,"(10, 10)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (10, 10), 'solver': 'lbfgs'}",-1.722282538644717,-0.18212622903138467,-0.43532417285057823,-0.699646220595747,-1.8945740093827212,-0.23450844657318787,-0.024004736961210346,-4.958443431140235,-0.18842803391705323,-8.134312461704603,-1.8473650280801437,2.529516758796308,2
16,0.04561150074005127,0.008141503058979645,0.0008005380630493164,0.0004002799157880101,logistic,"(1,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-1.5838520960805311,-0.30443577426241686,-1.300526073593456,-2.162870923635796,-2.989136558446511,-0.7431037788679629,-0.3077031919715467,-3.9062734450372005,-0.22384673433107855,-5.2592661589046426,-1.878101473513114,1.620147456833037,3
23,6.706421685218811,1.4380507166339518,0.0007998228073120117,0.0003999128810212124,logistic,"(100, 100)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 100), 'solver': 'lbfgs'}",-1.4102206024011208,-0.12160332654294938,-1.9699028657813642,-0.8795200797872547,-2.990911559358663,-1.1175494723071004,-0.020384739867199245,-3.4650318159096094,-0.059616521937886524,-7.326328052689456,-1.9361069036582603,2.122556233202094,4
18,1.2648864269256592,0.21258055754300112,0.0006003856658935546,0.0004902137363051773,logistic,"(30,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-3.0084077569070264,-0.16664273806985994,-1.0574299030215761,-0.795548021872266,-1.0527777890160388,-0.697387569204434,-0.14856754268942432,-5.004870787128951,-0.2896404524852792,-7.961564879068093,-2.0182837439462946,2.4541913189225992,5
17,0.8637960910797119,0.2466311921533316,0.0007009029388427735,0.0006409013174556709,logistic,"(10,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'solver': 'lbfgs'}",-2.167204538175032,-0.1406029517210531,-0.4373280277447345,-3.488858532560012,-1.4933487896481519,-0.5507328057267973,-0.019676797225071423,-4.85572256925404,-0.10286690112527873,-7.231182707081119,-2.048752462026129,2.3134061225193756,6
27,2.850047779083252,0.5100942497534616,0.0008002042770385743,0.00040010453864549147,tanh,"(100,)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.0551813684007052,-0.6654518884894761,-0.34843942275122425,-2.4677595682560107,-3.3905968149760835,-0.6419797033913374,-0.3108275716868455,-3.8279197166677306,-0.1586702770256853,-7.8914028882625065,-2.0758229219907607,2.315909256838312,7
26,1.1228537559509277,0.29043911277349943,0.0007002353668212891,0.0006400291225393525,tanh,"(30,)",lbfgs,"{'activation': 'tanh', 'hidden_layer_sizes': (30,), 'solver': 'lbfgs'}",-0.4011663386555743,-0.21265872772591374,-0.6728751916914434,-1.316182083641106,-1.9133825914099558,-0.4480735723105303,-0.059833802850799,-6.6920370548425225,-0.10758748611629546,-9.58845281317491,-2.141224966241905,3.1167540201045214,8
19,2.7364210367202757,0.30346886478029006,0.0009004831314086914,0.0005383590815796557,logistic,"(100,)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",-1.3505486811530263,-0.4066519557478114,-1.8782134634277217,-1.228460442029053,-2.5498051400175314,-0.6844807939061806,-0.2026939747478161,-3.782774801849349,-0.10837940529862848,-9.364019363637142,-2.155602802181426,2.6377454201200097,9
22,1.874726128578186,0.26375065293664823,0.0005995512008666992,0.0004895324742154553,logistic,"(30, 30)",lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': (30, 30), 'solver': 'lbfgs'}",-3.4239642409326763,-0.20312384555860763,-1.1580144148512472,-1.7622007992744917,-0.8151882460951103,-1.4119015697788926,-0.05493350100207346,-4.391189511486823,-0.30026612007431275,-8.474375516161823,-2.1995157765216056,2.4835700919551296,10
